acq_date,fires,frp,scan,brightness,max_t,month_sin,month_cos
1220.0,2004-03-05,10.0,1079.3,10.9,369.64,25.4,1.0,6.123233995736766e-17
1221.0,2004-03-06,2.0,147.7,2.5,352.29999999999995,29.6,1.0,6.123233995736766e-17
1222.0,2004-03-07,1.0,107.8,1.1,368.1,30.7,1.0,6.123233995736766e-17
1223.0,2004-03-08,11.0,1088.6,14.7,357.6636363636364,33.6,1.0,6.123233995736766e-17
1224.0,2004-03-09,9.0,914.5,14.7,336.4888888888889,33.3,1.0,6.123233995736766e-17
1225.0,2004-03-10,35.0,4657.1,41.6,365.1542857142857,32.8,1.0,6.123233995736766e-17
1226.0,2004-03-11,18.0,2319.8,33.2,339.9611111111111,28.6,1.0,6.123233995736766e-17
1227.0,2004-03-12,14.0,1655.5,17.3,355.2857142857143,28.9,1.0,6.123233995736766e-17
1228.0,2004-03-13,21.0,4198.4,32.7,380.252380952381,31.3,1.0,6.123233995736766e-17
1229.0,2004-03-14,21.0,4389.4,25.7,353.252380952381,29.2,1.0,6.123233995736766e-17
1230.0,2004-03-15,8.0,2856.8,11.1,377.225,30.8,1.0,6.123233995736766e-17
1231.0,2004-03-16,42.0,10822.9,85.4,356.9666666666667,30.4,1.0,6.123233995736766e-17
1232.0,2004-03-17,63.0,13190.6,77.0,373.6603174603175,30.2,1.0,6.123233995736766e-17
1233.0,2004-03-18,24.0,4433.7,40.8,344.0625,29.9,1.0,6.123233995736766e-17
1234.0,2004-03-19,35.0,4198.6,41.3,364.1685714285714,28.3,1.0,6.123233995736766e-17
1235.0,2004-03-20,5.0,477.8,5.3,355.32,28.3,1.0,6.123233995736766e-17
1236.0,2004-03-21,31.0,6017.0,34.1,377.2741935483871,28.8,1.0,6.123233995736766e-17
1237.0,2004-03-22,44.0,10683.4,69.7,367.7204545454546,25.8,1.0,6.123233995736766e-17
1238.0,2004-03-23,15.0,3896.0,30.9,358.04,25.7,1.0,6.123233995736766e-17
1239.0,2004-03-24,40.0,6617.3,53.6,364.8375,26.8,1.0,6.123233995736766e-17
1240.0,2004-03-25,20.0,7591.7,39.8,355.685,27.8,1.0,6.123233995736766e-17
1241.0,2004-03-26,42.0,7715.2,64.0,363.8119047619048,28.2,1.0,6.123233995736766e-17
1242.0,2004-03-27,41.0,6880.3,69.1,347.0682926829268,28.3,1.0,6.123233995736766e-17
1243.0,2004-03-28,9.0,594.8000000000001,12.3,338.56666666666666,27.1,1.0,6.123233995736766e-17
1244.0,2004-03-29,31.0,10299.7,55.7,363.8032258064516,28.1,1.0,6.123233995736766e-17
1245.0,2004-03-30,23.0,5213.4,31.5,375.66521739130434,28.7,1.0,6.123233995736766e-17
1246.0,2004-03-31,10.0,1844.0,16.7,356.92,29.8,1.0,6.123233995736766e-17
1247.0,2004-04-01,44.0,5349.1,62.3,345.1227272727273,30.3,0.8660254037844387,-0.4999999999999998
1248.0,2004-04-02,79.0,15262.2,94.0,373.4860759493671,29.4,0.8660254037844387,-0.4999999999999998
1249.0,2004-04-03,25.0,5035.0,43.8,353.584,29.2,0.8660254037844387,-0.4999999999999998
1250.0,2004-04-04,16.0,992.7,17.7,345.18125,28.0,0.8660254037844387,-0.4999999999999998
1251.0,2004-04-05,63.0,10550.8,94.8,359.4666666666667,26.8,0.8660254037844387,-0.4999999999999998
1252.0,2004-04-06,28.0,4465.099999999999,43.6,355.4714285714286,27.7,0.8660254037844387,-0.4999999999999998
1253.0,2004-04-07,90.0,18796.0,133.0,368.8822222222223,26.9,0.8660254037844387,-0.4999999999999998
1254.0,2004-04-08,50.0,12504.6,85.7,359.236,27.2,0.8660254037844387,-0.4999999999999998
1255.0,2004-04-09,23.0,2907.3,26.6,362.7217391304348,27.1,0.8660254037844387,-0.4999999999999998
1256.0,2004-04-10,14.0,6202.7,26.3,367.3285714285715,27.0,0.8660254037844387,-0.4999999999999998
1257.0,2004-04-11,12.0,2151.7,19.5,361.4083333333333,27.0,0.8660254037844387,-0.4999999999999998
1258.0,2004-04-12,19.0,2495.4,27.0,349.90526315789475,28.8,0.8660254037844387,-0.4999999999999998
1259.0,2004-04-13,61.0,6839.7,70.9,360.3295081967213,29.1,0.8660254037844387,-0.4999999999999998
1260.0,2004-04-14,47.0,6242.7,70.3,354.8659574468085,28.2,0.8660254037844387,-0.4999999999999998
